Document,Topic,Weight
723,2,0.60229445
724,0,0.91860455
725,0,0.8276406
726,1,0.9035982
727,1,0.63466763
728,0,0.88965863
729,3,0.59403265
730,0,0.8848643
731,2,0.9266261
732,2,0.8803149
733,0,0.60066116
734,0,0.71725154
735,0,0.6263387
736,2,0.89711773
737,3,0.843546
738,1,0.8707292
739,0,0.4964619
740,0,0.9083505
741,0,0.54692245
742,3,0.6522781
743,0,0.82111675
744,0,0.85306066
745,1,0.8883545
746,1,0.68613094
747,0,0.8538385
748,2,0.8210045
749,3,0.58360124
750,0,0.9226329
751,2,0.89743036
752,0,0.8267572
753,2,0.8970416
754,1,0.6120257
755,1,0.8778303
756,3,0.86302006
757,0,0.48736763
758,2,0.53680134
759,2,0.87711984
760,1,0.7757892
761,0,0.66610146
762,0,0.49952835
763,1,0.5022718
764,0,0.8714245
765,0,0.8861999
766,0,0.91120195
767,0,0.62845397
768,0,0.87224597
769,0,0.7375608
770,2,0.88003457
771,0,0.48841944
772,1,0.91824937
773,3,0.8593646
774,2,0.610956
775,1,0.87018996
776,2,0.81044
777,0,0.92167836
778,2,0.82489336
779,1,0.90894556
780,0,0.9030692
781,0,0.889982
782,3,0.8809799
783,1,0.7247968
784,1,0.90244466
785,1,0.87200505
786,1,0.5625247
787,1,0.41114712
788,2,0.71997595
789,1,0.91165495
790,2,0.8636285
791,1,0.90152115
792,0,0.91632473
793,0,0.8854327
794,1,0.90231043
795,0,0.87376666
796,1,0.9237945
797,0,0.89301115
798,3,0.8797604
799,1,0.45448786
800,0,0.48372123
801,2,0.5967506
802,0,0.68681383
803,1,0.92065054
804,0,0.49854645
805,2,0.6619161
806,1,0.47653535
807,0,0.88177437
808,0,0.5750109
809,2,0.63622344
810,1,0.5148297
811,1,0.646987
812,0,0.9173107
813,0,0.9156523
814,2,0.62250566
815,1,0.60861695
816,0,0.8914113
817,1,0.89610565
818,2,0.8089792
819,2,0.9096064
820,0,0.67051905
821,0,0.61413366
822,0,0.49559462
823,1,0.8643806
824,1,0.9288994
825,2,0.89555186
826,3,0.889817
827,2,0.924431
828,0,0.8550422
829,0,0.60067815
830,0,0.8928179
831,3,0.88072616
832,3,0.91346204
833,3,0.6553995
834,3,0.8865246
835,0,0.897228
836,0,0.92429924
837,3,0.41868657
838,0,0.5733981
839,3,0.53386617
840,3,0.53759724
841,2,0.51548564
842,0,0.880212
843,3,0.9002921
844,1,0.8247063
845,3,0.89714766
846,0,0.93421817
847,1,0.89350855
848,1,0.90952474
849,1,0.84723276
850,0,0.9184921
851,0,0.9016225
852,1,0.60173833
853,2,0.56420153
854,0,0.9018521
855,2,0.85855746
856,1,0.8657162
857,3,0.88984704
858,0,0.8956722
859,0,0.70814705
860,3,0.7814942
861,0,0.533581
862,0,0.48056155
863,0,0.73324203
864,0,0.85964143
865,0,0.861461
866,1,0.55047023
867,1,0.91946805
868,1,0.59936583
869,2,0.91334283
870,3,0.7035098
871,1,0.89530957
872,3,0.5367787
873,1,0.48832616
874,3,0.87433386
875,0,0.90928274
876,1,0.901693
877,1,0.51820064
878,2,0.56679636
879,0,0.5534222
880,2,0.8739496
